2016-07-05 12:01:56.325 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/compound/hyphenation/class-use
2016-07-05 12:01:56.329 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/core
2016-07-05 12:01:56.332 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/core/class-use
2016-07-05 12:01:56.334 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/custom
2016-07-05 12:01:56.335 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/custom/class-use
2016-07-05 12:01:56.337 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/cz
2016-07-05 12:01:56.338 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/cz/class-use
2016-07-05 12:01:56.340 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/da
2016-07-05 12:01:56.341 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/da/class-use
2016-07-05 12:01:56.344 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/de
2016-07-05 12:01:56.346 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/de/class-use
2016-07-05 12:01:56.350 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/el
2016-07-05 12:01:56.351 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/el/class-use
2016-07-05 12:01:56.353 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/en
2016-07-05 12:01:56.355 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/en/class-use
2016-07-05 12:01:56.358 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/es
2016-07-05 12:01:56.360 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/es/class-use
2016-07-05 12:01:56.362 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/eu
2016-07-05 12:01:56.363 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/eu/class-use
2016-07-05 12:01:56.365 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/fa
2016-07-05 12:01:56.367 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/fa/class-use
2016-07-05 12:01:56.369 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/fi
2016-07-05 12:01:56.370 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/fi/class-use
2016-07-05 12:01:56.372 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/fr
2016-07-05 12:01:56.373 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/fr/class-use
2016-07-05 12:01:56.375 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/ga
2016-07-05 12:01:56.378 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/ga/class-use
2016-07-05 12:01:56.379 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/gl
2016-07-05 12:01:56.380 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/gl/class-use
2016-07-05 12:01:56.385 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/hi
2016-07-05 12:01:56.386 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/hi/class-use
2016-07-05 12:01:56.389 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/hu
2016-07-05 12:01:56.394 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/hu/class-use
2016-07-05 12:01:56.396 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/hunspell
2016-07-05 12:01:56.397 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/hunspell/class-use
2016-07-05 12:01:56.399 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/lucene-6.0.0/docs/analyzers-common/org/apache/lucene/analysis/hy
